date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,2.0079,71447000000,1.2814,122955000000
2025-12-31,1.6969,232919000000,-0.2623,76728000000
2025-09-30,1.7677,161047000000,-0.2813,97644000000
2025-06-30,1.8815,83832000000,-0.3619,111024000000
2025-03-31,2.0796,31317000000,-0.4497,133284000000
2024-12-31,2.2793,315741000000,0.0394,160725000000
2024-09-30,2.1133,224075000000,-0.0572,113722000000
2024-06-30,2.0201,131377000000,-0.1816,100406000000
2024-03-31,2.1387,56904000000,-0.2433,107722000000
2023-12-31,2.3025,303780000000,0.082,123270000000
2023-09-30,2.1938,237678000000,0.0443,117305000000
2023-06-30,2.2358,160525000000,0.09,114932000000
2023-03-31,2.173,75205000000,-0.033,92755000000
2022-12-31,2.2354,280750000000,-0.1081,91687000000
2022-09-30,2.2974,227592000000,-0.0864,77749000000
2022-06-30,2.3609,147272000000,-0.0888,91623000000
2022-03-31,2.6878,77770000000,0.0196,102300000000
2021-12-31,2.7113,314764000000,0.0228,107958000000
2021-09-30,2.6457,249116000000,-0.029,129707000000
2021-06-30,,161618000000,,
2021-03-31,,76272000000,,
2020-12-31,2.8461,307761000000,0.243,117578000000
2020-09-30,,256544000000,,
2019-12-31,2.3253,247591000000,0.201,43049000000
2018-12-31,1.7639,206151000000,,10995000000
