date,资本回报率(ROIC),净资产收益率(ROE),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0939,0.0964,0.1292,0.2846,0.0641
2025-12-31,0.0969,0.0995,0.1307,0.2887,0.0659
2025-09-30,0.1029,0.1059,0.1369,0.2923,0.0705
2025-06-30,0.101,0.1038,0.1374,0.2943,0.0699
2025-03-31,0.0992,0.102,0.1341,0.2921,0.0683
2024-12-31,0.1009,0.1037,0.1331,0.2902,0.0687
2024-09-30,0.1023,0.1051,0.1339,0.2983,0.0698
2024-06-30,0.0997,0.1026,0.1326,0.2931,0.069
2024-03-31,0.0985,0.1013,0.1306,0.2863,0.0675
2023-12-31,0.0995,0.1024,0.1307,0.2823,0.0684
2023-09-30,0.1018,0.1051,0.134,0.2857,0.0696
2023-06-30,0.0995,0.103,0.1354,0.2793,0.0686
2023-03-31,0.0968,0.1006,0.1333,0.278,0.0673
2022-12-31,0.0988,0.1029,0.134,0.2778,0.0678
2022-09-30,0.1048,0.107,0.1383,0.2792,0.0703
2022-06-30,0.104,0.1061,0.1411,0.2838,0.0699
2022-03-31,,,0.1341,0.2822,
2021-12-31,0.0995,0.1013,0.1369,0.2881,0.0664
2021-09-30,,,0.1348,0.291,
2021-06-30,,,,,
2021-03-31,,,,,
2020-12-31,0.0969,0.0988,0.1408,0.3057,0.0658
2020-09-30,,,,,
2019-12-31,0.1005,0.1018,0.1427,0.3125,0.0688
2018-12-31,,,0.1586,0.3264,
