date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-3770704389,0.5712,14549176063,28.1261
2025-12-31,9693099444,-0.6967,6229541425,13.7715
2025-09-30,3137445103,-0.7581,17475865414,5.0671
2025-06-30,-2005897178,-2.5577,23721996340,7.0236
2025-03-31,-8793468086,0.1713,28199987128,9.2824
2024-12-31,31963589495,0.0169,26265772864,7.6305
2024-09-30,12971322797,-0.4958,12773915554,2.6683
2024-06-30,1287719313,-0.9514,-126005588,0.8669
2024-03-31,-10611231091,-2.2827,6365526733,1.3046
2023-12-31,31430984939,0.4175,24847053243,3.4516
2023-09-30,25724643489,2.1696,32865517570,4.806
2023-06-30,26518604011,6.3657,38716028108,5.0707
2023-03-31,8272707989,3.492,27594924329,3.9992
2022-12-31,22173990098,-0.1464,16389834587,2.4371
2022-09-30,8115976609,-0.0272,18982900740,2.0079
2022-06-30,3600278108,0.298,20453424695,2.0029
2022-03-31,-3319756593,0.7505,26129747953,2.359
2021-12-31,25977012146,-0.0596,15974288301,1.7088
2021-09-30,8343223833,-0.1856,18031574792,1.1571
2021-06-30,2773610615,1.9275,24701416701,1.553
2021-03-31,-13304998037,0.1886,25705388381,1.777
2020-12-31,27622006655,0.9998,23402482642,1.6332
2020-09-30,10244987509,0.1273,8883575980,0.9107
2020-06-30,-2990565572,-1.4932,-3674715525,0.3238
2020-03-31,-16396899027,-0.8289,-1934392399,0.3785
2019-12-31,13812068607,0.3182,5714811172,0.7325
2019-09-30,9088073974,2.5578,18444029866,1.6316
2019-06-30,6063113237,1.9211,19829474963,1.3686
2019-03-31,-8965364780,0.0258,7750189336,0.6542
2018-12-31,10478137566,1.0697,7710940175,0.5384
2018-09-30,-5833921556,0.6266,1703280922,0.2239
2018-06-30,-6582482203,0.4521,-2439731832,0.0222
2018-03-31,-9151688319,0.1766,-5401406627,-0.1495
2017-12-31,-4708686126,0.6479,-7198909215,-0.3137
2017-09-30,-15050588686,-2.2622,-24112992586,-2.4007
2017-06-30,-11708933634,-0.867,-19031411005,-1.5266
2017-03-31,-11115167171,-6.0644,-23339063461,-1.6039
2016-12-31,-12714735117,-7.1003,-14018250748,-1.0433
2016-09-30,-4576248144,-0.1953,-102913315,0.1128
