date,净利润率,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0255,0.038,0.0637,0.0996,0.0151
2025-12-31,0.0257,0.0405,0.0672,0.099,0.0159
2025-09-30,0.0283,0.0453,0.075,0.0981,0.0179
2025-06-30,0.0292,0.0471,0.0803,0.0985,0.019
2025-03-31,0.0287,0.048,0.0815,0.0979,0.0202
2024-12-31,0.0287,0.0504,0.0835,0.0986,0.0206
2024-09-30,0.031,0.0548,0.0919,0.0978,0.0225
2024-06-30,0.0321,0.0575,0.1016,0.0976,0.0245
2024-03-31,0.0322,0.0577,0.1023,0.0981,0.026
2023-12-31,0.0325,0.0613,0.1042,0.0983,0.0265
2023-09-30,0.0314,0.0587,0.0984,0.0974,0.025
2023-06-30,0.0323,0.0588,0.1005,0.1012,0.0251
2023-03-31,0.0335,0.0605,0.1039,0.104,0.0269
2022-12-31,0.0337,0.064,0.1049,0.1046,0.0275
2022-09-30,0.0379,0.07,0.1223,0.1075,0.0316
2022-06-30,0.0391,0.0714,0.125,0.1111,0.0319
2022-03-31,0.0406,0.0748,0.1283,0.1107,0.0335
2021-12-31,0.0411,0.077,0.1278,0.1133,0.0339
2021-09-30,0.0424,0.0775,0.1367,0.1075,0.0349
2021-06-30,0.0428,0.0782,0.1389,0.1062,0.0345
2021-03-31,0.0428,0.0781,0.1385,0.1059,0.0345
2020-12-31,0.0439,0.0786,0.1315,0.1083,0.0336
2020-09-30,0.0435,0.0731,0.1305,0.1113,0.0319
2020-06-30,0.0438,0.0722,0.131,0.1149,0.0311
2020-03-31,0.0443,0.0718,0.1311,0.1121,0.0307
2019-12-31,0.0445,0.0785,0.1358,0.111,0.0324
2019-09-30,0.0462,0.0772,0.144,0.1171,0.0327
2019-06-30,0.0463,0.0807,0.1444,0.1159,0.0323
2019-03-31,0.0462,,0.1407,0.1184,0.0319
2018-12-31,0.0462,0.0805,0.1436,0.1189,0.0324
2018-09-30,0.0443,,0.1415,0.1113,0.0298
2018-06-30,0.0436,,0.1429,0.1053,0.03
2018-03-31,0.0441,,0.1448,0.1042,0.0321
2017-12-31,0.0443,,0.1475,0.1049,0.0317
2017-09-30,0.0406,,0.1432,0.1011,0.03
2017-06-30,0.0445,,0.1622,0.102,0.0344
2017-03-31,0.0429,,0.1533,0.0974,0.0342
2016-12-31,0.0429,,0.1554,0.101,0.0334
2016-09-30,0.0464,,0.1693,0.1097,0.0364
