date,净利润率,总资产收益率(ROA),毛利率(GM),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.0889,0.1228,0.1871,0.2344,0.1484
2025-12-31,0.0868,0.1345,0.1805,0.2406,0.1719
2025-09-30,0.0863,0.1319,0.1766,0.256,0.1655
2025-06-30,0.0838,0.1366,0.1722,0.2417,0.172
2025-03-31,0.0824,0.1166,0.1712,0.2191,0.1421
2024-12-31,0.0846,0.1367,0.1769,0.238,0.1798
2024-09-30,0.0791,0.1143,0.1745,0.2252,0.146
2024-06-30,0.0797,0.1249,0.1752,0.2146,0.1622
2024-03-31,0.0832,0.1159,0.1757,0.2117,0.1447
2023-12-31,0.0849,0.1396,0.1705,0.2355,0.1924
2023-09-30,0.0927,0.147,0.1685,0.2905,0.1891
2023-06-30,0.0892,0.1645,0.1615,0.271,0.217
2023-03-31,0.0889,0.141,0.1605,0.2379,0.1746
2022-12-31,0.0911,0.1624,0.1639,0.2522,0.2209
2022-09-30,0.0918,0.1482,0.148,0.2612,0.1908
2022-06-30,0.0852,0.1551,0.1604,0.2412,0.2055
2022-03-31,0.0788,0.1294,0.1588,0.1955,0.1603
2021-12-31,0.0731,0.1422,0.1535,0.2066,0.1842
2021-09-30,0.0693,0.1325,0.1721,0.2048,0.1667
2021-06-30,0.0802,0.188,0.1692,0.3135,0.248
2021-03-31,0.0845,0.1845,0.1708,0.2854,0.2381
2020-12-31,0.0862,0.2011,0.1726,0.3089,0.2657
2020-09-30,0.089,0.2073,0.1747,0.321,0.2641
2020-06-30,0.0884,0.2304,0.176,0.4081,0.3106
2020-03-31,0.0887,0.2115,0.179,0.3445,0.2783
2019-12-31,0.0939,0.2223,0.1879,0.3642,0.2983
2019-09-30,0.0997,0.2151,0.2,0.3431,0.2812
2019-06-30,0.1006,0.2205,0.2048,0.3519,
2019-03-31,0.1083,0.2223,0.2173,0.3315,
2018-12-31,0.1037,0.2234,0.2142,0.3446,0.2839
2018-09-30,0.1,0.2169,0.2027,0.3331,
2018-06-30,0.0992,0.2381,0.2022,0.3635,
2018-03-31,0.0934,0.2034,0.196,0.2893,
2017-12-31,0.0892,0.203,0.1891,0.2954,
2017-09-30,0.0878,0.2041,0.1898,0.3146,
2017-06-30,0.0857,0.2115,0.184,0.2989,
2017-03-31,0.085,0.1892,0.178,0.2527,
2016-12-31,0.088,0.2062,0.1811,0.2785,
2016-09-30,0.0899,0.2078,0.185,0.3004,
