date,净资产收益率(ROE),资本回报率(ROIC),总资产收益率(ROA),净利润率,毛利率(GM)
2026-03-31,0.1564,0.0837,0.0649,0.4184,0.6211
2025-12-31,0.1535,0.0825,0.0621,0.4052,0.6167
2025-09-30,0.1456,0.0797,0.0582,0.3946,0.6013
2025-06-30,0.1636,0.0852,0.0606,0.4009,0.6058
2025-03-31,0.1537,0.0826,0.0603,0.3976,0.5992
2024-12-31,0.1517,0.0813,0.0579,0.3897,0.5913
2024-09-30,0.1602,0.0843,0.06,0.3977,0.6036
2024-06-30,0.1516,0.0796,0.0528,0.3709,0.585
2024-03-31,0.1374,0.0742,0.0493,0.3611,0.5753
2023-12-31,0.137,0.0933,0.0622,0.3579,0.5783
2023-09-30,0.1213,0.0797,0.0537,0.3544,0.5556
2023-06-30,0.1015,0.0657,0.0424,0.3353,0.5274
2023-03-31,0.114,0.0667,0.049,0.3842,0.5668
2022-12-31,0.1122,0.0842,0.066,0.4158,0.5729
2022-09-30,0.1398,0.1015,0.0784,0.4601,0.629
2022-06-30,0.1661,0.119,0.0877,0.4788,0.6504
2022-03-31,0.1442,0.108,0.082,0.4738,0.6269
2021-12-31,0.1437,0.1067,0.0803,0.476,0.6206
2021-09-30,0.1498,0.1048,0.0761,0.4674,0.6039
2021-06-30,0.175,0.1174,0.0819,0.4714,0.6081
2021-03-31,0.1645,0.1207,0.087,0.4656,0.6198
2020-12-31,0.1615,0.1177,0.0845,0.4587,0.634
2020-09-30,0.1539,0.107,0.0753,0.4405,0.6216
2020-06-30,0.1495,0.1017,0.0664,0.4238,0.6219
2020-03-31,0.1406,0.1039,0.0707,0.4218,0.6264
2019-12-31,0.1474,0.1087,0.0729,0.4324,0.6251
2019-09-30,0.1591,0.1316,0.0758,0.4491,0.6438
2019-06-30,0.1711,0.1324,0.0759,0.4333,0.6285
2019-03-31,0.16,,0.0766,0.4398,0.6334
2018-12-31,0.1628,0.1196,0.0761,0.4421,0.6289
2018-09-30,0.1671,,0.074,0.4318,0.6217
2018-06-30,0.1818,,0.0755,0.4533,0.6181
2018-03-31,0.166,,0.0749,0.444,0.614
2017-12-31,0.1687,,0.0745,0.4442,0.6121
2017-09-30,0.1753,,0.0735,0.457,0.5987
2017-06-30,0.1813,,0.0705,0.4436,0.5996
2017-03-31,0.1938,,0.0985,0.4165,0.5919
2016-12-31,0.1904,,0.095,0.4278,0.6069
2016-09-30,0.1726,,0.0823,0.4268,0.6106
