date,资本回报率(ROIC),净资产收益率(ROE),净利润率,总资产收益率(ROA),毛利率(GM)
2026-03-31,0.2081,0.2882,0.1252,0.1404,0.2395
2025-12-31,0.1913,0.2587,0.1163,0.1295,0.2393
2025-09-30,0.182,0.2596,0.1101,0.1226,0.196
2025-06-30,0.1613,0.23,0.0926,0.1041,0.1776
2025-03-31,0.1522,0.2129,0.0824,0.0977,0.1861
2024-12-31,0.1463,0.1958,0.0726,0.0901,0.1655
2024-09-30,0.1386,0.2175,0.0754,0.0861,0.1726
2024-06-30,0.131,0.2045,0.0704,0.0778,0.1645
2024-03-31,0.109,0.1562,0.0563,0.0622,0.1181
2023-12-31,0.0926,0.1273,0.0458,0.0505,0.0972
2023-09-30,0.0444,0.0505,0.0188,0.0182,0.0697
2023-06-30,0.0533,0.0501,0.0178,0.0178,0.0495
2023-03-31,0.0704,0.1011,0.0323,0.0339,0.062
2022-12-31,0.0847,0.1304,0.0416,0.0476,0.0929
2022-09-30,0.0753,0.1358,0.0414,0.0476,0.0998
2022-06-30,0.0786,0.144,0.041,0.0525,0.1039
2022-03-31,0.0606,0.1257,0.0341,0.0407,0.1079
2021-12-31,0.0641,0.1135,0.0312,0.0418,0.0939
2021-09-30,0.0584,0.1025,0.0313,0.0375,0.0945
2021-06-30,0.0519,0.0893,0.0285,0.0348,0.1108
2021-03-31,0.0416,0.0677,0.0252,0.0255,0.1058
2020-12-31,0.0401,0.0512,0.0219,0.0207,0.0747
2020-09-30,0.0411,0.0468,0.0199,0.0186,0.0403
2020-06-30,0.0437,0.0409,0.0189,0.0181,0.0149
2020-03-31,0.0362,0.0391,0.0223,0.0169,0.0143
2019-12-31,0.0343,0.0356,0.0257,0.0162,0.0447
2019-09-30,0.0317,0.0333,0.042,0.0145,0.1323
2019-06-30,,0.0484,0.1061,0.0232,0.2685
2019-03-31,,0.074,0.1543,0.0351,0.3095
2018-12-31,0.0687,0.1078,0.1984,0.0517,0.3768
2018-09-30,,0.1264,0.2259,0.0585,0.4057
2018-06-30,,0.1569,0.2195,0.0617,0.411
2018-03-31,,0.1091,0.1726,0.0478,0.3907
2017-12-31,,0.0896,0.1489,0.0387,0.37
2017-09-30,,0.0865,0.1291,0.0377,0.3386
2017-06-30,,0.0854,0.1155,0.0309,0.3431
2017-03-31,,0.0711,0.1627,0.0311,0.3516
2016-12-31,,0.0391,0.1467,0.0171,0.3347
2016-09-30,,0.0373,0.1489,0.018,0.3918
