date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,3.494,131064000000,-0.4611,538760000000
2025-12-31,4.1606,658632000000,0.722,650985000000
2025-09-30,1.8857,340147000000,-0.1855,297206000000
2025-06-30,2.9581,338185000000,0.1092,408724000000
2025-03-31,4.0246,243221000000,2.2448,544241000000
2024-12-31,2.6066,382474000000,0.0612,376205000000
2024-09-30,3.2954,417617000000,0.3357,460386000000
2024-06-30,4.3909,304883000000,0.8785,497200000000
2024-03-31,2.0837,74958000000,-0.643,218876000000
2023-12-31,3.2982,360403000000,-0.2441,353661000000
2023-09-30,3.7594,312648000000,-0.077,445091000000
2023-06-30,2.7697,162297000000,-0.4799,321849000000
2023-03-31,3.5551,209986000000,-0.1274,440715000000
2022-12-31,4.5229,485905000000,4.392,477602000000
2022-09-30,3.2353,345812000000,5.9538,377970000000
2022-06-30,3.0972,318100000000,15.3413,380970000000
2022-03-31,2.3437,246716000000,2.8031,264190000000
2021-12-31,0.7399,90116000000,-0.7112,78609000000
2021-09-30,0.6865,49730000000,-0.8119,84656000000
2021-06-30,1.3267,19466000000,-0.8511,187789000000
2021-03-31,1.5351,64872000000,-0.494,235493000000
2020-12-31,1.9583,312075000000,0.2511,302470000000
2020-09-30,1.3299,264313000000,-0.2012,172471000000
2020-06-30,1.4735,130740000000,-0.2811,188511000000
2020-03-31,1.4966,128201000000,-0.1991,206831000000
2019-12-31,1.5176,249445000000,0.2094,239741000000
2019-09-30,2.0818,330888000000,1.0842,351996000000
2019-06-30,1.4032,181853000000,0.3089,218727000000
2019-03-31,1.6081,160074000000,0.1445,220512000000
2018-12-31,1.7124,206260000000,0.7007,199170000000
2018-09-30,2.5476,177595000000,21.7075,278873000000
2018-06-30,2.5668,161607000000,12.564,283656000000
2018-03-31,2.9348,139867000000,4.3553,285013000000
2017-12-31,1.2131,121283000000,-0.4676,102026000000
2017-09-30,3.0525,7821000000,1.4594,237546000000
2017-06-30,1.9673,-13975000000,-1.2117,133213000000
2017-03-31,0.8949,-41685000000,-1.3495,50592000000
2016-12-31,3.1481,227821000000,0.6799,211573000000
2016-09-30,-0.7131,-17025000000,-1.0995,-69522000000
2016-06-30,-0.6466,65998000000,-0.7338,-67392000000
