date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.5097,21541691609,-2220444411,-0.278
2025-12-31,1.6418,21848716226,25339411083,0.9104
2025-09-30,1.6813,20124607804,13697028509,4.2606
2025-06-30,1.3639,14121571306,5343019638,29.1751
2025-03-31,1.1782,10913574161,-1737373006,0.5619
2024-12-31,1.0094,8617243471,13264092023,-0.202
2024-09-30,0.914,9230305543,2603725075,-0.5597
2024-06-30,1.0244,11481643747,-189636041,-1.1849
2024-03-31,1.0332,11582871962,-3966935242,-0.2074
2023-12-31,1.0968,12606176692,16623254306,0.6355
2023-09-30,1.1634,11636239953,5913853481,35.9345
2023-06-30,1.0132,9419909477,1026390863,1.4755
2023-03-31,0.8238,7289315142,-3285523508,0.1586
2022-12-31,0.7497,6421432682,10164135382,-0.2002
2022-09-30,0.5808,5235807942,160117141,-0.9593
2022-06-30,0.5113,5014307776,-2158492209,-2.0997
2022-03-31,0.6187,7478723614,-3904933408,-0.9349
2021-12-31,0.7258,9674644786,12708524687,-0.2101
2021-09-30,0.8727,11970468975,3931930902,-0.2896
2021-06-30,1.1333,16106801295,1962853772,27.0543
2021-03-31,1.2399,16010818645,-2018107114,0.4932
2020-12-31,1.1762,14099321475,16088156567,1.0712
2020-09-30,1.0177,10970225405,5534617993,43.5208
2020-06-30,0.6406,5678274165,69966341,1.1623
2020-03-31,0.5459,4819830580,-3982048165,-0.3107
2019-12-31,0.6232,5925781065,7767720171,-0.1476
2019-09-30,0.5435,5373909428,124315235,-0.953
2019-06-30,0.8962,9187726589,-431063793,0.7341
2019-03-31,0.8934,8328104846,-3038198690,0.2121
2018-12-31,0.8008,7076125810,9114013286,0.2361
2018-09-30,0.9358,7185415390,2646271298,26.6086
2018-06-30,0.7537,4957941213,-1621193358,0.1655
2018-03-31,0.6769,4365708220,-3856064681,-0.2704
2017-12-31,0.7863,5704053341,7373160251,0.1861
2017-09-30,0.501,3095757561,95849571,-0.951
2017-06-30,0.479,2833654571,-1942800802,-5.8842
2017-03-31,0.5942,3646394111,-3034652490,-1.119
2016-12-31,0.8374,5321720450,6213692161,0.9317
2016-09-30,0.8428,4889233399,1954013324,3.8518
2016-06-30,0.8819,4420028979,397807256,1.2073
