date,净利润率,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0701,0.1298,0.0694,0.1347,0.0452
2025-12-31,0.0691,0.1256,0.0769,0.1361,0.0456
2025-09-30,0.0704,0.1154,0.0667,0.1461,0.0394
2025-06-30,0.0713,0.1207,0.0672,0.1482,0.0411
2025-03-31,0.076,0.1318,0.0723,0.1567,0.0456
2024-12-31,0.0812,0.1494,0.0873,0.1616,0.0541
2024-09-30,0.0879,0.1751,0.0898,0.1571,0.0592
2024-06-30,0.0975,0.1934,0.1029,0.1676,0.0668
2024-03-31,0.1029,0.2,0.1062,0.1683,0.0715
2023-12-31,0.1044,0.2082,0.1235,0.1679,0.0806
2023-09-30,0.0994,0.1988,0.1016,0.166,0.0706
2023-06-30,0.0945,0.1924,0.1018,0.1547,0.0685
2023-03-31,0.096,0.1953,0.1047,0.1581,0.0714
2022-12-31,0.1029,0.2227,0.1272,0.1657,0.0871
2022-09-30,0.115,0.2671,0.1413,0.168,0.0976
2022-06-30,0.132,0.3264,0.1725,0.2014,0.1177
2022-03-31,0.1526,0.3527,0.1891,0.2355,0.1327
2021-12-31,0.172,0.406,0.2138,0.2626,0.1545
2021-09-30,0.1876,0.4359,0.2258,0.306,0.1606
2021-06-30,0.1921,0.4095,0.2119,0.313,0.1501
2021-03-31,0.1753,0.3035,0.1708,0.298,0.1211
2020-12-31,0.1418,0.2179,0.1308,0.2678,0.0903
2020-09-30,0.1154,0.1803,0.1052,0.2283,0.0713
2020-06-30,0.1149,0.1878,0.108,0.2275,0.0735
2020-03-31,0.1357,0.2082,0.1326,0.256,0.0915
2019-12-31,0.1557,0.2547,0.1715,0.28,0.1219
2019-09-30,0.1621,0.2587,0.1805,0.2858,0.1217
2019-06-30,0.1687,0.2819,,0.2956,0.1277
2019-03-31,0.1847,0.3172,,0.31,0.1465
2018-12-31,0.2116,0.3665,0.2359,0.3383,0.1798
2018-09-30,0.2481,0.4659,,0.3794,0.2212
2018-06-30,0.2678,0.529,,0.4028,0.2456
2018-03-31,0.2666,0.5486,,0.4061,0.2409
2017-12-31,0.2505,0.5423,,0.397,0.2283
2017-09-30,0.2252,0.4984,,0.3792,0.1896
2017-06-30,0.2075,0.4312,,0.3618,0.1581
2017-03-31,0.1841,0.3441,,0.3419,0.1244
2016-12-31,0.1511,0.2743,,0.3108,0.0923
2016-09-30,0.129,0.2115,,0.2919,0.0675
