date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,-467096320,-0.0185,1.0625,6457235439
2025-12-31,7745950954,0.1324,1.0994,6470094814
2025-09-30,3148278632,0.1438,1.0558,5900612464
2025-06-30,1504938083,0.3356,1.0601,5908715551
2025-03-31,-457530538,0.1748,1.0461,5479573512
2024-12-31,6843710887,-0.0696,1.0768,5284639401
2024-09-30,2752550317,-0.2036,1.0848,4966065435
2024-06-30,1126773137,-0.5645,0.9819,4213281975
2024-03-31,-554431388,-1.5214,0.9814,3830502304
2023-12-31,7355650998,0.9204,1.3037,5433316809
2023-09-30,3456158468,1.4359,0.9995,3936548741
2023-06-30,2587393945,1.0749,0.8745,3287643191
2023-03-31,1063433050,1.9826,0.9803,4528366614
2022-12-31,3830314322,-0.3943,0.6175,2317479766
2022-09-30,1418855261,-0.4563,0.7738,3852867437
2022-06-30,1246971285,3.9166,1.0903,6082742952
2022-03-31,-1082217189,-7.7975,0.8194,4164761976
2021-12-31,6323508784,-0.0902,0.9478,5309705498
2021-09-30,2609587416,-0.1887,0.9697,5296969778
2021-06-30,253623691,-0.8385,0.8657,4711657181
2021-03-31,-123014095,-1.2968,0.95,5366902723
2020-12-31,6950432015,0.0583,1.0845,6045056992
2020-09-30,3216395942,0.0052,1.0801,5831160111
2020-06-30,1570083808,0.6932,1.2303,6382784260
2020-03-31,414456412,6.8102,1.2615,6352522449
2019-12-31,6567569489,0.0953,1.2262,5988304910
2019-09-30,3199815684,0.1429,1.2613,5852427437
2019-06-30,927279938,-0.3775,1.116,5092906823
2019-03-31,53066227,-0.8831,1.2056,5338524435
2018-12-31,5996242502,0.2701,1.3732,5773113297
2018-09-30,2799711276,0.327,1.3115,5277037794
2018-06-30,1489580986,0.4753,1.3139,4998225694
2018-03-31,453960849,5.8835,1.4014,5024309681
2017-12-31,4720977582,0.1588,1.3368,4462335445
2017-09-30,2109758220,0.197,1.3229,4044327319
2017-06-30,1009666669,-0.0354,1.2698,3559060145
2017-03-31,-92958673,-1.4136,1.2483,3167046309
2016-12-31,4074050748,0.8562,1.4329,3286075496
2016-09-30,1762538102,1.7229,1.2224,2462899126
