date,净利润率,总资产收益率(ROA),毛利率(GM),资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.2559,0.1011,0.3102,0.1275,0.1826
2025-12-31,0.2154,0.0795,0.2647,0.1033,0.1435
2025-09-30,0.1979,0.071,0.2609,0.0944,0.1283
2025-06-30,0.1916,0.0664,0.2651,0.0905,0.121
2025-03-31,0.1866,0.069,0.2752,0.0924,0.1165
2024-12-31,0.2019,0.0783,0.2842,0.1027,0.1332
2024-09-30,0.1739,0.0714,0.2644,0.0953,0.1215
2024-06-30,0.1786,0.0725,0.2605,0.0972,0.1257
2024-03-31,0.1977,0.0832,0.2642,0.11,0.1414
2023-12-31,0.1902,0.077,0.259,0.1028,0.139
2023-09-30,0.184,0.0783,0.2445,0.105,0.1441
2023-06-30,0.1716,0.0791,0.2327,0.1052,0.1509
2023-03-31,0.1657,0.0803,0.2178,0.1035,0.1564
2022-12-31,0.1706,0.0807,0.2192,0.1006,0.1678
2022-09-30,0.1801,0.0954,0.2242,0.113,0.2004
2022-06-30,0.1857,0.0914,0.2205,0.1091,0.1989
2022-03-31,0.1698,0.0752,0.2113,0.0899,0.1673
2021-12-31,0.1499,0.0616,0.1875,0.0756,0.1384
2021-09-30,0.0256,0.0071,0.1263,0.0144,0.0159
2021-06-30,0.0451,0.0121,0.1509,0.0212,0.0275
2021-03-31,0.1145,0.0313,0.2157,0.0441,0.0735
2020-12-31,0.1556,0.0496,0.2545,0.0648,0.1087
2020-09-30,0.2576,0.0837,0.3236,0.1067,0.1978
2020-06-30,0.2347,0.0712,0.3141,0.0959,0.1731
2020-03-31,0.1625,0.045,0.2623,0.0695,0.1102
2019-12-31,0.1117,0.031,0.2258,0.0546,0.0706
2019-09-30,0.1093,0.0289,0.1909,0.0637,0.0718
2019-06-30,0.1064,0.0337,0.1843,0.0633,0.0778
2019-03-31,0.1076,0.0307,0.1838,0.0564,0.07
2018-12-31,0.0997,0.0248,0.1772,0.0449,0.0551
2018-09-30,0.035,0.0071,0.1438,,0.0157
2018-06-30,0.026,0.0035,0.1425,,0.007
2018-03-31,0.0709,0.0107,0.1721,,0.0203
2017-12-31,0.1514,0.0242,0.2382,,0.0459
2017-09-30,0.1313,0.0215,0.2724,,0.0404
2017-06-30,0.1546,0.0246,0.3069,,0.0459
2017-03-31,0.338,0.0584,0.3604,,0.1031
2016-12-31,0.3737,0.0645,0.3908,,0.1148
2016-09-30,0.3668,0.0648,0.4124,,0.1156
