date,总资产收益率(ROA),毛利率(GM),净利润率,净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.0651,0.2667,0.0651,0.1487,0.122
2025-12-31,0.0688,0.2666,0.0667,0.165,0.1362
2025-09-30,0.0803,0.2541,0.0693,0.1839,0.1538
2025-06-30,0.0761,0.2608,0.0699,0.1856,0.1538
2025-03-31,0.0738,0.2689,0.0688,0.1731,0.1442
2024-12-31,0.072,0.278,0.0685,0.1745,0.1457
2024-09-30,0.0753,0.316,0.0711,0.1768,0.1495
2024-06-30,0.0719,0.3158,0.0689,0.1771,0.1479
2024-03-31,0.0708,0.3153,0.0662,0.1687,0.1419
2023-12-31,0.0684,0.3151,0.064,0.1668,0.1394
2023-09-30,0.0685,0.3146,0.0633,0.1673,0.1369
2023-06-30,0.0667,0.3141,0.0623,0.1701,0.1372
2023-03-31,0.067,0.3132,0.0612,0.1656,0.1337
2022-12-31,0.065,0.3133,0.0605,0.1676,0.1337
2022-09-30,0.0672,0.3139,0.0613,0.1727,0.1346
2022-06-30,0.066,0.3125,0.06,0.1754,0.1351
2022-03-31,0.065,0.3118,0.0587,0.1692,0.1303
2021-12-31,0.0628,0.3123,0.0581,0.1772,0.1318
2021-09-30,0.0647,0.3121,0.0593,0.1813,0.1311
2021-06-30,0.0725,0.3058,0.0649,0.2067,0.1422
2021-03-31,0.0664,0.2982,0.0591,0.1834,0.1285
2020-12-31,0.0579,0.2968,0.054,0.1701,0.121
2020-09-30,0.0473,0.2902,0.044,0.1405,0.0974
2020-06-30,0.0512,0.2931,0.0492,0.156,0.1033
2020-03-31,0.0602,0.2948,0.0562,0.1784,0.118
2019-12-31,0.0697,0.2983,0.0614,0.2054,0.1433
2019-09-30,0.0751,0.2912,0.0681,0.235,0.1596
2019-06-30,0.0594,0.2907,0.052,0.1852,
2019-03-31,0.0601,0.2912,0.0528,0.1881,
2018-12-31,0.0614,0.29,0.0533,0.1918,0.1278
2018-09-30,0.0626,0.3013,0.0548,0.2047,
2018-06-30,0.0653,0.3031,0.057,0.2084,
2018-03-31,0.0647,0.3058,0.0571,0.2087,
2017-12-31,0.064,0.31,0.0568,0.2147,
2017-09-30,0.0671,0.3122,0.0577,0.223,
2017-06-30,0.0615,0.3128,0.0541,0.2046,
2017-03-31,0.065,0.3117,0.0512,0.1842,
2016-12-31,0.0646,0.3102,0.0562,0.1912,
2016-09-30,0.0645,0.2891,0.0567,0.1825,
