date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,16312189479,1611474494,-0.2946,1.3102
2025-12-31,17269712528,26002941970,-0.012,1.2896
2025-09-30,19836737167,17491126693,0.2124,1.372
2025-06-30,19971600105,11139045781,0.3223,1.392
2025-03-31,17139708730,2284614694,0.1511,1.3313
2024-12-31,16513866247,26543081912,0.0003,1.3559
2024-09-30,15926734548,13875667271,0.051,1.372
2024-06-30,16320858646,7818257937,0.1514,1.437
2024-03-31,15648785978,1724758959,0.2731,1.4599
2023-12-31,15523516369,25262376228,0.2471,1.5098
2023-09-30,13650336794,13203115801,0.1735,1.3602
2023-06-30,12618585247,6790530463,0.1384,1.3295
2023-03-31,12297787995,1354792344,0.182,1.3395
2022-12-31,12177887379,20153505783,-0.1326,1.368
2022-09-30,13344603909,11205073838,-0.1657,1.4111
2022-06-30,13453553071,5964247657,-0.2935,1.4479
2022-03-31,14334784168,1154796354,-0.5974,1.565
2021-12-31,16047042691,23129640418,0.3135,1.75
2021-09-30,17952001417,13359284075,1.3391,1.8887
2021-06-30,19038338023,8423823727,16.5158,1.8136
2021-03-31,18676367491,2863386936,1.4947,2.0077
2020-12-31,10149663731,17599111716,0.1668,1.5543
2020-09-30,5213836641,5711204674,-0.3262,1.2973
2020-06-30,5301496838,-542919257,-1.15,1.1225
2020-03-31,1820652859,-5787626102,-5.2062,0.7239
2019-12-31,9149664861,15082630943,-0.2121,1.2228
2019-09-30,10363099009,9006912568,-0.1739,1.279
2019-06-30,10200028041,3633833498,-0.3509,1.7092
2019-03-31,11980039762,1323519988,-0.3901,1.8325
2018-12-31,12648460390,18934252899,0.1335,1.9379
2018-09-30,7633502399,11049179807,-0.24,1.328
2018-06-30,8259230289,5368385954,-0.3635,1.3459
2018-03-31,7866874664,1990934744,-0.6573,1.3093
2017-12-31,12310697546,16086588028,0.9772,1.7772
2017-09-30,14386333446,14160052999,1.863,1.9441
2017-06-30,8707802988,8393200906,0.7653,1.4608
2017-03-31,10240877932,5809318531,4.5526,1.8596
2016-12-31,5717647521,8054704601,0.4373,1.2038
2016-09-30,6122365423,4934382298,3.0535,1.4493
