date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,1.488,7798541802,-0.2911,42422653060
2025-12-31,1.607,46383114754,0.5793,45422345807
2025-09-30,1.9059,45728383685,2.5971,60663207508
2025-06-30,1.5934,28328562187,4.5306,50624170811
2025-03-31,1.2863,11001218583,4.7408,41071940378
2024-12-31,0.9073,29369250571,-0.4793,26252629870
2024-09-30,1.0035,12712439744,-0.6789,27238518739
2024-06-30,1.048,5122166411,-0.834,27595297337
2024-03-31,1.3492,-2940867716,-1.1952,35060128667
2023-12-31,2.0346,56398426354,0.9673,52903982386
2023-09-30,1.8256,39596171712,0.7631,40602957942
2023-06-30,1.8905,30859691935,1.3478,40991275538
2023-03-31,1.729,15065152966,3.4384,34394645592
2022-12-31,1.2458,28668435921,14.1335,22655067292
2022-09-30,0.7277,22458621192,2.4756,12017348414
2022-06-30,0.8735,13144260368,3.165,15390587753
2022-03-31,0.4161,3394256789,1.7957,3453808074
2021-12-31,0.083,1894363259,-0.9015,-3817754731
2021-09-30,0.9376,6461831242,1.1312,17128558849
2021-06-30,0.6978,-6071219912,-0.3439,12384457163
2021-03-31,1.1073,-4265483022,0.6377,22024120128
2020-12-31,0.8635,19238637309,-0.3103,14716622334
2020-09-30,-0.11,3032000102,-0.9074,-6732904249
2020-06-30,0.3969,-4517675738,-1.2745,1718154395
2020-03-31,0.4051,-11772862524,-2.5224,3400742433
2019-12-31,1.1235,27893714094,0.0354,23190140642
2019-09-30,1.6303,32729686130,1.1713,40160454478
2019-06-30,1.2618,16456067247,0.8409,30077679342
2019-03-31,0.7674,7733213419,-0.4615,16361054207
2018-12-31,1.0213,26940791543,0.649,23109544449
2018-09-30,0.9106,15073756135,1.6266,22421356141
2018-06-30,0.8366,8939161969,1.4577,19067981983
2018-03-31,0.9112,14359650413,0.6358,19417776829
2017-12-31,0.7268,16358538248,0.1008,13937280751
2017-09-30,0.3258,5738901126,-0.5948,3620165341
2017-06-30,0.379,3637139726,-0.6825,4240330123
2017-03-31,1.0693,8778142230,0.4349,14543572084
2016-12-31,0.9572,14859952107,-0.6652,11610212455
2016-09-30,1.5511,14162263637,-0.617,18650632889
