date,净利润率,总资产收益率(ROA),毛利率(GM),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.0613,0.0161,0.7081,0.0198,0.0198
2025-12-31,0.114,0.0348,0.716,0.0444,0.0444
2025-09-30,0.1056,0.0332,0.7032,0.0402,0.0401
2025-06-30,0.1469,0.0493,0.7207,0.0599,0.0598
2025-03-31,0.1793,0.0622,0.7232,0.0773,0.0772
2024-12-31,0.2309,0.0972,0.7316,0.1285,0.1285
2024-09-30,0.2759,0.1302,0.7342,0.1583,0.1582
2024-06-30,0.2958,0.1638,0.7475,0.1963,0.1962
2024-03-31,0.2999,0.1477,0.7503,0.1848,0.1847
2023-12-31,0.3025,0.1455,0.7525,0.2013,0.2011
2023-09-30,0.3106,0.1675,0.757,0.2119,0.2119
2023-06-30,0.3134,0.1756,0.7599,0.2186,0.2185
2023-03-31,0.3168,0.1555,0.7444,0.2019,0.2018
2022-12-31,0.3119,0.1383,0.746,0.2086,0.2086
2022-09-30,0.3135,0.1595,0.7492,0.2099,0.2099
2022-06-30,0.3046,0.1546,0.749,0.2068,0.2068
2022-03-31,0.3099,0.1444,0.7593,0.1922,0.1922
2021-12-31,0.2964,0.1235,0.7532,0.1856,0.1856
2021-09-30,0.3114,0.1443,0.7396,0.1872,0.1872
2021-06-30,0.3338,0.1522,0.7317,0.2029,0.2029
2021-03-31,0.3287,0.1362,0.7349,0.1785,0.1785
2020-12-31,0.3547,0.1395,0.7227,0.1997,0.1997
2020-09-30,0.3544,0.1576,0.727,0.1994,0.1994
2020-06-30,0.3504,0.1577,0.7288,0.2017,0.2017
2020-03-31,0.3424,0.1447,0.719,0.1893,0.1893
2019-12-31,0.3194,0.1434,0.7135,0.2107,0.2107
2019-09-30,0.3387,0.1799,0.7251,0.239,0.239
2019-06-30,0.3394,0.2008,0.7323,0.2665,
2019-03-31,0.3396,0.1842,0.727,0.2449,
2018-12-31,0.3359,0.1749,0.737,0.2571,0.2571
2018-09-30,0.3368,0.1908,0.7516,0.2649,
2018-06-30,0.3369,0.1997,0.7295,0.2694,
2018-03-31,0.3364,0.1769,0.719,0.2384,
2017-12-31,0.3323,0.1613,0.6646,0.2384,
2017-09-30,0.338,0.1751,0.6474,0.2451,
2017-06-30,0.3394,0.1836,0.6319,0.2493,
2017-03-31,0.3395,0.1636,0.6403,0.2247,
2016-12-31,0.3378,0.1598,0.639,0.237,
2016-09-30,0.3357,0.1703,0.6178,0.2432,
2016-06-30,0.3358,0.1781,0.6184,0.2522,
