date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,5508470361,8.8828,-0.2288,-6693815993
2025-12-31,-6914101315,-3.8478,-0.9258,-11401980084
2025-09-30,6287997514,14.1178,0.9823,2827543686
2025-06-30,2871405799,1.592,1.3018,4828049155
2025-03-31,558146592,1.092,1.1934,2545985079
2024-12-31,2507849798,-0.7706,0.3378,-4043304835
2024-09-30,495429337,-0.9398,0.4517,-3787501386
2024-06-30,-4799711431,-1.7424,-0.0451,-6844477663
2024-03-31,-6068554414,-0.5154,1.2647,2631296149
2023-12-31,10931174473,0.0272,1.5671,4166010055
2023-09-30,8228819673,-0.2234,1.2953,2104257002
2023-06-30,6464968486,-0.1191,1.6379,3358887419
2023-03-31,-4004466987,-1.0612,1.3613,2794150528
2022-12-31,10641320122,0.1782,1.7477,5536324616
2022-09-30,10596267201,0.3138,1.864,7286248056
2022-06-30,7339203609,3.1525,2.2575,10990643746
2022-03-31,-1942800280,-0.0874,1.3465,6088355290
2021-12-31,9031634346,5.5352,1.5272,6270462303
2021-09-30,8065620499,0.1983,0.4951,660481794
2021-06-30,1767430662,-0.5678,-0.1932,-3774528066
2021-03-31,-1786713597,-4.9014,-0.2766,-4290933515
2020-12-31,1381996439,-0.8325,0.5655,-2090939294
2020-09-30,6730727957,-0.2335,3.3331,2536634248
2020-06-30,4089547413,-0.2581,4.0848,3176903745
2020-03-31,457966532,-0.3844,4.973,4626419044
2019-12-31,8252296414,0.0086,3.7883,5082027044
2019-09-30,8781296203,1.0869,5.2691,9969506043
2019-06-30,5512497316,5.8626,5.2294,10753000713
2019-03-31,743933356,-0.0668,3.3801,5843397001
2018-12-31,8182118246,1.5104,3.3338,5782549311
2018-09-30,4207916624,1.8102,2.7635,3167181469
2018-06-30,805336653,-0.0679,1.4908,248154878
2018-03-31,797210336,-0.1883,1.543,-40440965
2017-12-31,3259243125,-0.1972,1.9041,10494981
2017-09-30,1497355291,0.4141,3.2797,2062652697
2017-06-30,864037385,0.3076,3.8015,1899998079
2017-03-31,982124500,0.3203,3.6229,2661348369
2016-12-31,4325998967,1.2744,4.5982,2695359449
2016-09-30,1058860433,-0.8105,-4.544,-3767390690
