date,总资产收益率(ROA),资本回报率(ROIC),净资产收益率(ROE),净利润率,毛利率(GM)
2026-03-31,0.0727,0.0948,0.1203,0.2015,0.3546
2025-12-31,0.0632,0.0831,0.1067,0.1809,0.3312
2025-09-30,0.0676,0.0881,0.114,0.1995,0.3153
2025-06-30,0.0623,0.0821,0.1062,0.1916,0.3041
2025-03-31,0.0546,0.0732,0.0936,0.1727,0.2746
2024-12-31,0.048,0.0643,0.0823,0.1595,0.2503
2024-09-30,0.0375,0.0524,0.0656,0.1306,0.2421
2024-06-30,0.0387,0.0551,0.0681,0.1358,0.2388
2024-03-31,0.049,0.0666,0.0857,0.1763,0.257
2023-12-31,0.0627,0.0821,0.1074,0.2122,0.28
2023-09-30,0.076,0.0996,0.1365,0.2525,0.2985
2023-06-30,0.093,0.1231,0.168,0.2881,0.3151
2023-03-31,0.1201,0.1549,0.2136,0.314,0.3202
2022-12-31,0.1475,0.1881,0.2607,0.3378,0.356
2022-09-30,0.1617,0.2115,0.3006,0.3393,0.3808
2022-06-30,0.1773,0.2311,0.3389,0.3399,0.4052
2022-03-31,0.1652,0.2132,0.3105,0.3339,0.4547
2021-12-31,0.1524,0.2006,0.2932,0.3115,0.4531
2021-09-30,0.1405,0.1915,0.281,0.3125,0.4493
2021-06-30,0.1116,0.1515,0.2311,0.2796,0.4162
2021-03-31,0.0873,0.1171,0.1771,0.2403,0.3717
2020-12-31,0.0685,0.0968,0.14,0.2066,0.3378
2020-09-30,0.0518,0.0788,0.1107,0.1715,0.2867
2020-06-30,0.0523,0.08,0.1128,0.1741,0.3128
2020-03-31,0.0574,0.084,0.1221,0.184,0.3313
2019-12-31,0.0661,0.0939,0.1379,0.2014,0.3546
2019-09-30,0.0637,0.1034,0.1367,0.199,0.4115
2019-06-30,0.0731,,0.1542,0.2151,0.4253
2019-03-31,0.0783,,0.1605,0.225,0.4409
2018-12-31,0.0865,0.1163,0.1758,0.2377,0.4511
2018-09-30,0.0931,,0.1945,0.2556,0.4562
2018-06-30,0.0941,,0.1957,0.252,0.4552
2018-03-31,0.0921,,0.1869,0.2482,0.4544
2017-12-31,0.0886,,0.1828,0.2494,0.4584
2017-09-30,0.0802,,0.1706,0.2307,0.4568
2017-06-30,0.0748,,0.1629,0.2267,0.4597
2017-03-31,0.0685,,0.1512,0.2175,0.4601
2016-12-31,0.0637,,0.1467,0.2053,0.4472
2016-09-30,0.0604,,0.1776,0.1876,0.43
