date,净资产收益率(ROE),资本回报率(ROIC),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.2617,0.261,0.2975,0.7317,0.1833
2025-12-31,0.3264,0.3243,0.3176,0.7485,0.2239
2025-09-30,0.3354,0.3343,0.3284,0.7626,0.2367
2025-06-30,0.3648,0.3616,0.3318,0.7619,0.2275
2025-03-31,0.3445,0.3426,0.3399,0.7684,0.2373
2024-12-31,0.386,0.3815,0.3403,0.762,0.2511
2024-09-30,0.4022,0.3984,0.3384,0.7547,0.2691
2024-06-30,0.4326,0.4267,0.339,0.7566,0.2647
2024-03-31,0.3891,0.3838,0.3439,0.7617,0.2621
2023-12-31,0.4182,0.412,0.3276,0.7531,0.2589
2023-09-30,0.4375,0.429,0.3393,0.7503,0.2765
2023-06-30,0.4599,0.4496,0.331,0.7568,0.2811
2023-03-31,0.4035,0.3941,0.3265,0.7567,0.2601
2022-12-31,0.437,0.4367,0.3112,0.7536,0.2448
2022-09-30,0.4288,0.4286,0.3064,0.7603,0.2549
2022-06-30,0.4288,0.4285,0.2961,0.7552,0.2517
2022-03-31,0.4391,0.4387,0.2992,0.7527,0.2622
2021-12-31,0.4202,0.4198,0.2699,0.7491,0.2167
2021-09-30,0.4592,0.4596,0.2667,0.7479,0.255
2021-06-30,0.4619,0.4624,0.2644,0.7411,0.2582
2021-03-31,0.385,0.3855,0.2366,0.7273,0.2202
2020-12-31,0.3523,0.3529,0.2227,0.7215,0.1738
2020-09-30,0.3197,0.3122,0.207,0.7402,0.1723
2020-06-30,0.3091,0.302,0.1938,0.7204,0.1638
2020-03-31,0.2878,0.2813,0.196,0.7202,0.168
2019-12-31,0.2912,0.2912,0.1729,0.7192,0.1472
2019-09-30,0.2923,0.3014,0.174,0.6663,0.165
2019-06-30,0.282,,0.1694,0.6772,0.1507
2019-03-31,0.257,,0.1706,0.6699,0.1485
2018-12-31,0.2639,0.2643,0.1663,0.6621,0.1502
2018-09-30,0.2641,,0.1848,0.6977,0.1589
2018-06-30,0.255,,0.1792,0.6916,0.1462
2018-03-31,0.2227,,0.1795,0.6984,0.137
2017-12-31,0.1974,,0.1663,0.6984,0.1228
2017-09-30,0.2087,,0.1756,0.6982,0.1323
2017-06-30,0.1902,,0.1679,0.7024,0.1185
2017-03-31,0.1634,,0.162,0.6949,0.1076
2016-12-31,0.1375,,0.1456,0.6868,0.0909
2016-09-30,0.1421,,0.1434,0.6772,0.0974
2016-06-30,0.1422,,0.1454,0.6812,0.0948
