date,资产合计,货币资金,长期负债合计,流动资产合计,有息负债率,速动比率,应收账款,资产负债率,流动比率,负债合计,流动负债合计,所有者权益合计
2026-03-31,45657478489,106823314168.01,2458705338,782555119,0.1989,1.0763,16407251068,0.5641,1.3233,25755078554,1782261983,19902399934
2025-12-31,44857109349,116255019898.49,2716235615,780678446,0.1526,1.1161,16295940654,0.5572,1.3675,24994625193,1665686892,19862484157
2025-09-30,43288324450,129570369165.05,3952255010,706970323,0.1996,1.2438,15913301156,0.5641,1.4845,24417926392,2015339711,18870398058
2025-06-30,42929508257,110683840778.28,4204966063,707935922,0.2063,1.2822,15746396829,0.5607,1.5397,24072531553,1361465051,18856976703
2025-03-31,41444902737,109969195180.45,4648203087,733246865,0.187,1.3052,14970618885,0.5463,1.5622,22642324035,1487329751,18802578702
2024-12-31,41478899803,111702995819.2,4672981833,733246865,0.1664,1.2941,14666453044,0.5488,1.5666,22764027053,1681135415,18714872750
2024-09-30,40132646557,102733467181.4,5985690114,822790070,0.2185,1.3013,14002674818,0.5737,1.5815,23023691268,1656931973,17108955289
2024-06-30,38256440253,99288983245.75,5868323362,824168262,0.213,1.3876,13133902136,0.5479,1.6679,20959363330,1141255080,17297076923
2024-03-31,37181743281,112805108634.96,5498231125,852115718,0.1933,1.3989,11993629117,0.5324,1.7169,19797147939,1321304140,17384595342
2023-12-31,37831122978,107401662916.14,4554692087,912202080,0.1582,1.3506,12165102112,0.5313,1.6424,20099089357,1156193365,17732033622
2023-09-30,35214158379,117312128580.98,2907761517,893359037,0.1427,1.3053,11938619154,0.5252,1.6053,18494899513,1254120282,16719258865
2023-06-30,33709165431,157373317377.88,2979712631,929510049,0.1416,1.4186,10875003627,0.4983,1.763,16797122473,970306612,16912042958
2023-03-31,31715175704,147934010325.44,2279519295,888936735,0.1146,1.3941,9735357733,0.4721,1.7875,14973626339,1085979665,16741549365
2022-12-31,32859139720,76288803865.89,1714101433,1011529346,0.0862,1.304,9869741661,0.4873,1.6352,16012075909,1051601678,16847063811
2022-09-30,30490402537,76265566338.06,1061171503,1355780350,0.0734,1.3015,9265011071,0.4628,1.663,14111566058,1784325113,16378836479
2022-06-30,30033055432,95785089715.26,861966980,1355780350,0.062,1.4024,8304350220,0.4203,1.8468,12624236325,1311658147,17408819107
2022-03-31,29723372351,108243826659.65,401084545,810232846,0.0317,1.3228,7462256223,0.4148,1.741,12329750899,1636170195,17393621452
2021-12-31,31394037754,122073911357.95,392039217,872957868,0.0461,1.324,7485907224,0.4478,1.6298,14056797009,1385477241,17337240746
2021-09-30,28340201327,121697790750.5,406637040,497614077,0.0632,1.289,7714786742,0.4473,1.6423,12675480030,1957510810,15664721297
2021-06-30,24235612035,150306860631.26,396750138,474857272,0.071,1.0944,6578869915,0.4718,1.4464,11435489676,1669179214,12800122359
2021-03-31,23669932342,107521573862.61,91297615,501865215,0.0134,1.1408,5747461139,0.4437,1.519,10501901344,1786041519,13168030998
2020-12-31,24836091819,90925030493.79,82474789,480185851,0.0367,1.1464,5467912569,0.4777,1.4413,11864280855,1668203863,12971810964
2020-09-30,22493555731,75321104968.4,113573259,2456377870,0.0715,1.1058,5056599856,0.4477,1.6053,10069274551,1341627818,12424281180
2020-06-30,20936200358,82266383395.6,109443195,1815169357,0.08,1.1917,5021532709,0.4233,1.6342,8863235473,921791821,12072964885
2020-03-31,19502448036,75762896912.2,307243641,2008404146,0.0718,1.2675,3792550041,0.4026,1.779,7851532426,965061811,11650915610
2019-12-31,20100836086,75806868413.6,397598743,0,0.0579,1.5233,5087158436,0.4162,1.6648,8366000083,0,11734836003
2019-09-30,19204891874,70108901411.4,367838309,0,0.0667,1.6671,5330364894,0.3986,1.8639,7654284269,0,11550607606
2019-06-30,15962880593,69555713487.6,367032992,0,0.101,1.2833,4564696922,0.442,1.4868,7055794221,0,8907086372
2019-03-31,15260258733,75937931482.1,366345921,0,0.0779,1.2842,4144963270,0.4476,1.4938,6830467857,0,8429790877
2018-12-31,15302583688,51559951273.6,367059981,0,0.078,1.1523,3389307027,0.4634,1.3354,7090827090,0,8211756598
2018-09-30,13964970206,59783596099.3,345718069,0,0.0823,1.1732,3904933998,0.437,1.3773,6102212436,0,7862757769
2018-06-30,13346857368,66785149314.3,360493792,0,0.0949,1.2061,3319387121,0.4207,1.4313,5615071965,0,7731785404
2018-03-31,13118069001,84474233512.9,460493398,0,0.0757,1.4192,2758552734,0.3845,1.6554,5044376886,0,8073692115
2017-12-31,13340336353,82127341278.2,460698442,0,0.0661,1.404,2552450044,0.4039,1.6112,5387823165,0,7952513188
2017-09-30,12220741510,74503413249.5,462986804,0,0.0645,2.0705,2870276356,0.3084,2.3908,3769279072,0,8451462438
2017-06-30,11686235545,55408875837,470990555,0,0.0678,2.2895,2488684397,0.2853,2.6565,3334219987,0,8352015558
2017-03-31,10581549442,46559803563,480355786,0,0.0793,2.2139,2120315456,0.2814,2.5458,2977469968,0,7604079475
2016-12-31,10413942385,35549105249.7,370828362,0,0.065,1.9336,1797815618,0.3068,2.1947,3195171090,0,7218771295
2016-09-30,9360382117,36830961799.1,331859915,0,0.0676,2.3096,1932708448,0.2834,2.5185,2652728254,0,6707653864
