date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,8129836962,0.1862,1075858090,0.65
2025-12-31,31602577614,0.1443,3421001214,2.06
2025-09-30,21986403962,0.1138,2352826956,1.42
2025-06-30,14810160219,0.0499,1815258363,1.09
2025-03-31,6853656384,-0.0604,1270073785,1
2024-12-31,27616611773,0.1163,3367888968,2.63
2024-09-30,19740286995,0.0608,2959832869,2.32
2024-06-30,14106012765,0.073,2398360138,1.87
2024-03-31,7294070558,0.1482,1363825964,1.39
2023-12-31,24738963320,0.3683,2852931665,2.9
2023-09-30,18608005954,0.5365,2402599847,2.44
2023-06-30,13146125695,0.5648,1877124660,1.91
2023-03-31,6352408319,0.4946,1151030151,1.16
2022-12-31,18079461483,0.1631,2448802103,2.48
2022-09-30,12110720576,0.0753,1952336234,1.99
2022-06-30,8400943579,0.0682,1433067713,1.46
2022-03-31,4194386686,0.0281,838713628,0.86
2021-12-31,15319993635,0.1234,2046867983,2.09
2021-09-30,11099275826,0.1917,1741152226,1.78
2021-06-30,7756767623,0.3195,1365192131,1.39
2021-03-31,4079841527,0.2905,642951077,0.66
2020-12-31,13637258154,-0.0782,1597489175,1.63
2020-09-30,9241413658,-0.0929,1564201636,1.6
2020-06-30,5832422067,-0.1862,1060824999,1.08
2020-03-31,3137095984,-0.0991,533309778,0.54
2019-12-31,14701918764,0.0949,2112494768,2.16
2019-09-30,10187324423,0.0787,1969393683,2.01
2019-06-30,7166809329,0.1073,1722327729,1.76
2019-03-31,3482272550,0.0302,1166843862,1.19
2018-12-31,13427746163,0.2075,1432078202,1.46
2018-09-30,9444297444,0.262,1112454763,1.14
2018-06-30,6472097342,0.2949,826501378,0.84
2018-03-31,3380320208,0.3759,422914174,0.43
2017-12-31,11119916380,0.2381,1301687250,1.33
2017-09-30,7483779864,0.2141,959115018,0.98
2017-06-30,4997952867,0.1675,741254468,0.76
2017-03-31,2456863818,0.1524,374692855,0.38
2016-12-31,8981721081,0.1369,1197840599,1.22
2016-09-30,6164009776,0.1184,869297954,0.89
