date,毛利率(GM),总资产收益率(ROA),净利润率,资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.5055,0.1107,0.3061,0.1425,0.1535
2025-12-31,0.5147,0.1134,0.3067,0.1448,0.1571
2025-09-30,0.519,0.1118,0.3031,0.1507,0.1636
2025-06-30,0.535,0.1165,0.3185,0.1553,0.1694
2025-03-31,0.5394,0.125,0.3243,0.1612,0.1805
2024-12-31,0.5363,0.1338,0.3281,0.1722,0.1947
2024-09-30,0.535,0.1363,0.3284,0.185,0.2097
2024-06-30,0.5122,0.1351,0.3104,0.1814,0.2062
2024-03-31,0.5095,0.1306,0.306,0.1684,0.1973
2023-12-31,0.4988,0.1283,0.2979,0.1662,0.196
2023-09-30,0.4947,0.1336,0.3125,0.1808,0.2152
2023-06-30,0.5131,0.1392,0.3242,0.1892,0.2249
2023-03-31,0.5105,0.1562,0.3251,0.2017,0.244
2022-12-31,0.5305,0.1652,0.3355,0.2142,0.2623
2022-09-30,0.5426,,0.3293,,
2022-06-30,0.5356,0.1299,0.3219,0.1757,0.2161
2022-03-31,0.5371,,0.3155,,
2021-12-31,0.506,0.0933,0.2857,0.1223,0.1535
2021-09-30,,,,,
2021-06-30,,,,,
2021-03-31,,,,,
2020-12-31,0.3732,0.0337,0.1606,0.0467,0.0566
2019-12-31,0.4452,0.0845,0.2618,0.1081,0.1406
2018-12-31,0.4289,,0.2313,,
