date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.0837,0.3871,0.0069
2025-12-31,0.0837,0.3918,0.007
2025-09-30,0.0834,0.3963,0.0071
2025-06-30,0.0855,0.393,0.0071
2025-03-31,0.0874,0.3964,0.0072
2024-12-31,0.0885,0.4011,0.0075
2024-09-30,0.0889,0.3922,0.0075
2024-06-30,0.0901,0.395,0.0075
2024-03-31,0.0906,0.3959,0.0076
2023-12-31,0.0925,0.3955,0.008
2023-09-30,0.0933,0.3914,0.008
2023-06-30,0.0943,0.3861,0.0081
2023-03-31,0.0952,0.3833,0.0083
2022-12-31,0.0966,0.3843,0.0085
2022-09-30,0.0982,0.3823,0.0086
2022-06-30,0.0997,0.3785,0.0086
2022-03-31,0.1007,0.3787,0.0087
2021-12-31,0.1007,0.3754,0.0089
2021-09-30,0.1008,0.3737,0.0087
2021-06-30,0.0999,0.3703,0.0086
2021-03-31,0.0971,0.3582,0.0083
2020-12-31,0.0991,0.3627,0.0087
2020-09-30,0.0912,0.3322,0.0079
2020-06-30,0.0942,0.3373,0.0081
2020-03-31,0.105,0.3657,0.0089
2019-12-31,0.1091,0.3676,0.0092
2019-09-30,0.1093,0.3692,0.0092
2019-06-30,0.1127,0.3746,0.0093
2019-03-31,0.1147,0.3757,0.0093
2018-12-31,0.1166,0.3817,0.0094
2018-09-30,0.1185,0.3888,0.0095
2018-06-30,0.1211,0.3906,0.0096
2018-03-31,0.1201,0.3893,0.0096
2017-12-31,0.1208,0.3828,0.0098
2017-09-30,0.124,0.392,0.0101
2017-06-30,0.1271,0.3985,0.0101
2017-03-31,0.1267,0.379,0.0103
2016-12-31,0.1294,0.3806,0.0105
2016-09-30,0.1392,0.3968,0.0112
